#LVM II					at equilibrium	
#t	X0=2	Y0=1.3	X0=0.5	Y0=0.5	x	y
160.5	0.689429	2.198908	1.863838	1.53721	1	1.9
161	0.680856	2.16455	1.886454	1.60601	1	1.9
161.5	0.673578	2.129885	1.902378	1.679511	1	1.9
162	0.667558	2.095079	1.911067	1.757461	1	1.9
162.5	0.662763	2.060285	1.912083	1.839478	1	1.9
163	0.65916	2.025644	1.905124	1.925037	1	1.9
163.5	0.656718	1.991284	1.890051	2.013468	1	1.9
164	0.655411	1.957324	1.8669	2.103948	1	1.9
164.5	0.655212	1.923871	1.8359	2.195517	1	1.9
165	0.656098	1.891022	1.797471	2.287093	1	1.9
165.5	0.658051	1.858866	1.752216	2.377503	1	1.9
166	0.66105	1.827484	1.700901	2.465519	1	1.9
166.5	0.66508	1.796947	1.644423	2.549902	1	1.9
167	0.670127	1.767321	1.583775	2.629451	1	1.9
167.5	0.676178	1.738666	1.520001	2.703049	1	1.9
168	0.683222	1.711036	1.454156	2.769704	1	1.9
168.5	0.691249	1.68448	1.38726	2.82859	1	1.9
169	0.700251	1.659042	1.320268	2.879064	1	1.9
169.5	0.710219	1.634763	1.254037	2.920684	1	1.9
170	0.721144	1.611682	1.189312	2.953214	1	1.9
170.5	0.733019	1.589832	1.126711	2.976609	1	1.9
171	0.745834	1.569247	1.066724	2.991003	1	1.9
171.5	0.759579	1.549957	1.009722	2.996686	1	1.9
172	0.774244	1.531992	0.955959	2.994074	1	1.9
172.5	0.789815	1.515381	0.905591	2.983686	1	1.9
173	0.806277	1.50015	0.858687	2.966112	1	1.9
173.5	0.823609	1.486328	0.815248	2.941989	1	1.9
174	0.841792	1.473942	0.775219	2.911981	1	1.9
174.5	0.860797	1.463019	0.738502	2.876756	1	1.9
175	0.880594	1.453586	0.70497	2.836971	1	1.9
175.5	0.901146	1.445671	0.674477	2.793264	1	1.9
176	0.922411	1.439304	0.646863	2.74624	1	1.9
176.5	0.944339	1.434514	0.621966	2.696467	1	1.9
177	0.966874	1.43133	0.599623	2.644473	1	1.9
177.5	0.989951	1.429783	0.579675	2.590743	1	1.9
178	1.013497	1.429903	0.56197	2.535718	1	1.9
178.5	1.03743	1.431723	0.546365	2.479797	1	1.9
179	1.061657	1.435272	0.532728	2.423338	1	1.9
