#LVM I						
#t	X0=2	Y0=1.3	X0=1.5	Y0=1.5	X0=1.0	Y0=1.5
108	0.687198	3.558434	0.725522	2.787532	1.143011	2.558807
108.5	0.636612	3.4987	0.698195	2.747631	1.111046	2.575111
109	0.591625	3.431767	0.673291	2.704769	1.079203	2.587385
109.5	0.551743	3.358986	0.650709	2.659417	1.047735	2.595604
110	0.516487	3.281585	0.630346	2.612021	1.01687	2.599792
110.5	0.485404	3.200661	0.612095	2.562996	0.986806	2.600021
111	0.458072	3.117182	0.595851	2.512724	0.957712	2.596406
111.5	0.434107	3.031994	0.581512	2.461556	0.92973	2.589097
112	0.413164	2.94583	0.56898	2.409811	0.902976	2.578277
112.5	0.394933	2.859315	0.558165	2.357779	0.877539	2.564154
113	0.379141	2.772985	0.548983	2.305718	0.853488	2.546955
113.5	0.365551	2.687289	0.541357	2.25386	0.83087	2.526921
114	0.353953	2.602604	0.535218	2.202411	0.809715	2.504302
114.5	0.344166	2.519243	0.530504	2.151553	0.790039	2.479353
115	0.336034	2.437461	0.527161	2.101447	0.771843	2.45233
115.5	0.329425	2.357466	0.525142	2.052232	0.755122	2.423485
116	0.324224	2.279424	0.524406	2.004033	0.739859	2.393065
116.5	0.320336	2.203466	0.52492	1.956955	0.726033	2.36131
117	0.317682	2.129691	0.526658	1.91109	0.713617	2.328448
117.5	0.316196	2.058174	0.529597	1.866519	0.702584	2.294698
118	0.315827	1.988966	0.533723	1.82331	0.692902	2.260267
118.5	0.316533	1.922103	0.539025	1.781521	0.68454	2.225348
119	0.318284	1.857601	0.545498	1.741202	0.677466	2.190124
119.5	0.32106	1.795467	0.553143	1.702396	0.671649	2.154763
120	0.324848	1.735696	0.561962	1.66514	0.667061	2.119422
120.5	0.329646	1.678276	0.571964	1.629466	0.663674	2.084246
121	0.335457	1.623185	0.583159	1.595402	0.661462	2.049366
121.5	0.342291	1.570399	0.595564	1.562971	0.660401	2.014906
122	0.350169	1.519888	0.609193	1.532197	0.660471	1.980976
122.5	0.359113	1.471621	0.624069	1.503099	0.661652	1.947678
123	0.369155	1.425562	0.640211	1.475697	0.663928	1.915106
123.5	0.380332	1.381678	0.657643	1.450011	0.667284	1.883344
124	0.392687	1.339932	0.676389	1.426062	0.671708	1.852469
124.5	0.406269	1.300291	0.696471	1.40387	0.677191	1.822551
125	0.421133	1.262719	0.717915	1.383458	0.683722	1.793656
125.5	0.437339	1.227186	0.740741	1.364853	0.691297	1.765841
126	0.454954	1.193661	0.764969	1.348083	0.699908	1.739161
126.5	0.474049	1.162117	0.790615	1.333181	0.709552	1.713666
127	0.4947	1.132532	0.817692	1.320182	0.720224	1.689403
127.5	0.516991	1.104885	0.846204	1.309127	0.73192	1.666415
128	0.541007	1.07916	0.876152	1.300064	0.744638	1.644743
128.5	0.56684	1.055349	0.907524	1.293045	0.758373	1.624427
129	0.594586	1.033446	0.940301	1.288127	0.773119	1.605505
129.5	0.624343	1.013454	0.974448	1.285378	0.788869	1.588013
130	0.656215	0.99538	1.009918	1.284868	0.805616	1.571989
130.5	0.690303	0.979241	1.046646	1.28668	0.823346	1.557468
131	0.726713	0.965063	1.084546	1.290901	0.842046	1.544488
131.5	0.765547	0.95288	1.123511	1.297628	0.861695	1.533085
132	0.806907	0.942739	1.16341	1.306964	0.882271	1.523298
132.5	0.850889	0.934698	1.204081	1.319023	0.903742	1.515165
133	0.897581	0.928828	1.245336	1.333924	0.926074	1.508727
133.5	0.947059	0.925217	1.28695	1.351792	0.949222	1.504025
134	0.999387	0.923968	1.328665	1.372758	0.973134	1.501104
134.5	1.054607	0.925205	1.370185	1.396955	0.997749	1.500008
135	1.112736	0.929072	1.411175	1.424515	1.022995	1.500782
135.5	1.173762	0.93574	1.451265	1.455569	1.048789	1.503475
136	1.23763	0.945402	1.490044	1.490239	1.075036	1.508134
136.5	1.30424	0.958286	1.527068	1.528631	1.101628	1.514807
137	1.373431	0.974649	1.561863	1.570833	1.128443	1.523544
137.5	1.444975	0.994787	1.593929	1.616904	1.155346	1.534392
138	1.518563	1.019033	1.622753	1.666865	1.182185	1.547395
138.5	1.593789	1.047762	1.647817	1.720691	1.208794	1.562596
139	1.670139	1.081395	1.668612	1.778295	1.234995	1.580033
139.5	1.746975	1.120392	1.684655	1.839525	1.260593	1.599735
140	1.823522	1.16526	1.695509	1.904147	1.285381	1.621727
140.5	1.898858	1.21654	1.700794	1.971837	1.309141	1.646018
141	1.971904	1.274804	1.700215	2.042176	1.331645	1.672609
141.5	2.041421	1.340634	1.693576	2.114643	1.352659	1.701481
142	2.106021	1.414608	1.680792	2.188619	1.371946	1.732598
142.5	2.164178	1.497261	1.661909	2.263389	1.389267	1.7659
143	2.214268	1.589049	1.6371	2.338156	1.404392	1.801306
143.5	2.254613	1.690293	1.606673	2.412057	1.4171	1.838702
144	2.283553	1.801116	1.57106	2.484182	1.427185	1.877945
144.5	2.29954	1.921375	1.530803	2.55361	1.434462	1.91886
145	2.301235	2.050579	1.486537	2.619431	1.438777	1.961236
145.5	2.287631	2.187827	1.438965	2.680777	1.440005	2.004826
146	2.258163	2.331753	1.388827	2.736858	1.43806	2.04935
146.5	2.212805	2.4805	1.336878	2.786982	1.432901	2.09449
147	2.152134	2.63174	1.283859	2.830577	1.42453	2.1399
